Time	Acceleration - cDAQ1Mod1_ai1	Force (IEPE) - cDAQ1Mod1_ai0
0.000000E+0	1.897451E-2	4.178337E-1
4.882813E-4	1.465475E-2	3.785236E-1
9.765625E-4	1.223569E-2	3.744570E-1
1.464844E-3	1.597948E-2	4.194604E-1
1.953125E-3	1.667064E-2	4.121405E-1
2.441406E-3	1.574909E-2	3.928921E-1
2.929687E-3	1.292685E-2	3.817768E-1
3.417969E-3	1.908971E-2	3.972298E-1
3.906250E-3	1.488514E-2	4.042785E-1
4.394531E-3	1.741940E-2	4.091584E-1
4.882812E-3	1.033500E-2	3.893678E-1
5.371094E-3	1.390600E-2	3.796080E-1
5.859375E-3	1.597948E-2	3.945188E-1
6.347656E-3	1.661305E-2	3.907233E-1
6.835937E-3	8.664688E-3	3.600885E-1
7.324219E-3	1.189011E-2	3.465333E-1
7.812500E-3	1.672824E-2	3.446355E-1
8.300781E-3	1.885932E-2	3.310803E-1
8.789062E-3	1.724661E-2	3.213206E-1
9.277344E-3	1.471235E-2	3.251160E-1
9.765625E-3	1.626746E-2	3.007166E-1
1.025391E-2	1.505793E-2	3.123741E-1
1.074219E-2	1.471235E-2	2.952945E-1
1.123047E-2	1.770738E-2	2.511045E-1
1.171875E-2	1.356042E-2	2.489357E-1
1.220703E-2	1.638266E-2	2.825526E-1
1.269531E-2	1.592188E-2	2.288739E-1
1.318359E-2	1.528832E-2	2.253496E-1
1.367187E-2	1.684343E-2	2.055590E-1
1.416016E-2	1.494274E-2	1.993236E-1
1.464844E-2	1.730421E-2	2.136921E-1
1.513672E-2	1.586429E-2	1.928170E-1
1.562500E-2	1.730421E-2	1.982391E-1
1.611328E-2	1.741940E-2	1.673332E-1
1.660156E-2	1.816816E-2	1.760086E-1
1.708984E-2	1.546111E-2	1.521514E-1
1.757812E-2	1.309964E-2	1.646222E-1
1.806641E-2	1.546111E-2	1.491692E-1
1.855469E-2	1.839855E-2	1.429338E-1
1.904297E-2	1.448196E-2	1.139257E-1
1.953125E-2	1.407879E-2	1.255831E-1
2.001953E-2	1.736180E-2	1.120279E-1
2.050781E-2	1.390600E-2	1.025393E-1
2.099609E-2	2.076001E-2	9.305061E-2
2.148437E-2	2.029924E-2	9.603276E-2
2.197266E-2	1.367561E-2	6.350023E-2
2.246094E-2	1.586429E-2	5.102942E-2
2.294922E-2	1.275406E-2	6.512685E-2
2.343750E-2	1.678584E-2	5.021611E-2
2.392578E-2	1.782258E-2	3.991414E-2
2.441406E-2	1.759219E-2	2.825665E-2
2.490234E-2	1.551871E-2	4.072745E-2
2.539062E-2	1.874413E-2	2.906996E-2
2.587891E-2	1.528832E-2	2.988328E-2
2.636719E-2	1.747700E-2	2.554560E-2
2.685547E-2	1.661305E-2	3.476316E-2
2.734375E-2	1.476995E-2	5.157163E-2
2.783203E-2	1.229329E-2	3.638978E-2
2.832031E-2	1.517313E-2	2.120793E-2
2.880859E-2	1.304204E-2	2.852775E-2
2.929687E-2	1.759219E-2	2.717223E-2
2.978516E-2	1.736180E-2	1.307480E-2
3.027344E-2	1.615227E-2	1.226149E-2
3.076172E-2	1.603708E-2	1.959518E-3
3.125000E-2	1.655545E-2	1.117707E-2
3.173828E-2	1.811056E-2	-1.024018E-2
3.222656E-2	1.885932E-2	1.146204E-3
3.271484E-2	1.505793E-2	1.795468E-2
3.320312E-2	1.442437E-2	-3.733676E-3
3.369141E-2	1.626746E-2	-1.349344E-2
3.417969E-2	1.920490E-2	-2.542203E-2
3.466797E-2	1.569150E-2	-2.298209E-2
3.515625E-2	1.655545E-2	-1.484896E-2
3.564453E-2	1.926250E-2	-2.786197E-2
3.613281E-2	1.955048E-2	-3.382627E-2
3.662109E-2	2.168156E-2	-5.361689E-2
3.710937E-2	1.586429E-2	-5.443021E-2
3.759766E-2	1.407879E-2	-8.235396E-2
3.808594E-2	1.724661E-2	-8.886047E-2
3.857422E-2	1.419398E-2	-1.002469E-1
3.906250E-2	1.546111E-2	-1.127177E-1
3.955078E-2	1.540351E-2	-1.333216E-1
4.003906E-2	1.724661E-2	-1.438947E-1
4.052734E-2	1.615227E-2	-1.509434E-1
4.101562E-2	1.753459E-2	-1.636853E-1
4.150391E-2	1.194771E-2	-1.756139E-1
4.199219E-2	1.839855E-2	-1.926935E-1
4.248047E-2	1.505793E-2	-1.951334E-1
4.296875E-2	1.494274E-2	-1.954045E-1
4.345703E-2	1.799537E-2	-1.986578E-1
4.394531E-2	1.523072E-2	-2.078753E-1
4.443359E-2	2.087521E-2	-2.008266E-1
4.492187E-2	1.891692E-2	-1.983867E-1
4.541016E-2	1.644025E-2	-1.989289E-1
4.589844E-2	1.528832E-2	-1.959467E-1
4.638672E-2	1.724661E-2	-2.019110E-1
4.687500E-2	1.966568E-2	-1.712762E-1
4.736328E-2	1.903211E-2	-1.533833E-1
4.785156E-2	1.753459E-2	-1.753428E-1
4.833984E-2	1.747700E-2	-1.390148E-1
4.882812E-2	2.041443E-2	-1.303395E-1
4.931641E-2	1.281166E-2	-1.295261E-1
4.980469E-2	1.707382E-2	-9.807802E-2
5.029297E-2	2.012645E-2	-8.831826E-2
5.078125E-2	1.822576E-2	-9.075820E-2
5.126953E-2	1.862893E-2	-6.337665E-2
5.175781E-2	1.644025E-2	-3.653731E-2
5.224609E-2	1.574909E-2	-4.004780E-3
5.273437E-2	1.500034E-2	2.772831E-3
5.322266E-2	1.350282E-2	1.443032E-2
5.371094E-2	1.183251E-2	4.289629E-2
5.419922E-2	2.052963E-2	6.431354E-2
5.468750E-2	1.620987E-2	6.675348E-2
5.517578E-2	1.753459E-2	1.038948E-1
5.566406E-2	1.223569E-2	1.212455E-1
5.615234E-2	1.546111E-2	1.158234E-1
5.664062E-2	1.269646E-2	1.331741E-1
5.712891E-2	1.868653E-2	1.516092E-1
5.761719E-2	1.546111E-2	2.226385E-1
5.810547E-2	1.764979E-2	2.069145E-1
5.859375E-2	1.448196E-2	2.440558E-1
5.908203E-2	1.373321E-2	2.589665E-1
5.957031E-2	1.425158E-2	2.814682E-1
6.005859E-2	1.494274E-2	3.004455E-1
6.054687E-2	1.494274E-2	3.188806E-1
6.103516E-2	1.557630E-2	3.148140E-1
6.152344E-2	1.644025E-2	3.226761E-1
6.201172E-2	1.960808E-2	3.362313E-1
6.250000E-2	1.413638E-2	3.346047E-1
6.298828E-2	1.425158E-2	3.505998E-1
6.347656E-2	1.500034E-2	3.516843E-1
6.396484E-2	1.206290E-2	3.375868E-1
6.445312E-2	1.540351E-2	3.291826E-1
6.494141E-2	1.194771E-2	3.348758E-1
6.542969E-2	1.644025E-2	3.389423E-1
6.591797E-2	1.799537E-2	3.318936E-1
6.640625E-2	1.914730E-2	3.096631E-1
6.689453E-2	1.206290E-2	3.272849E-1
6.738281E-2	1.246608E-2	3.158985E-1
6.787109E-2	1.425158E-2	3.259293E-1
6.835937E-2	1.851374E-2	3.042410E-1
